Date,Rides
"Thursday, June 16",190
"Friday, June 17",345
"Saturday, June 18",411
"Sunday, June 19",202
"Monday, June 20",100
"Tuesday, June 21",124
"Wednesday, June 22",220
"Thursday, June 23",144
"Friday, June 24",397
"Saturday, June 25",503
"Sunday, June 26",256
"Monday, June 27",97
"Tuesday, June 28",108
"Wednesday, June 29",122
"Thursday, June 30",203
"Friday, July 1",514
"Saturday, July 2",767
"Sunday, July 3",622
"Monday, July 4",402
"Tuesday, July 5",199
"Wednesday, July 6",195
"Thursday, July 7",248
"Friday, July 8",450
"Saturday, July 9",654
"Sunday, July 10",378
"Monday, July 11",158
"Tuesday, July 12",165
"Wednesday, July 13",367
"Thursday, July 14",306
"Friday, July 15",563
"Saturday, July 16",787
"Sunday, July 17",383
"Monday, July 18",165
"Tuesday, July 19",206
"Wednesday, July 20",316
"Thursday, July 21",383
"Friday, July 22",880
"Saturday, July 23",1048
"Sunday, July 24",572
"Monday, July 25",263
"Tuesday, July 26",288
"Wednesday, July 27",314
"Thursday, July 28",469
"Friday, July 29",822
"Saturday, July 30",1012
"Sunday, July 31",595
"Monday, August 1",274
"Tuesday, August 2",273
"Wednesday, August 3",466
"Thursday, August 4",445
"Friday, August 5",864
"Saturday, August 6",1727
"Sunday, August 7",1025
"Monday, August 8",411
"Tuesday, August 9",432
"Wednesday, August 10",600
"Thursday, August 11",947
"Friday, August 12",1777
"Saturday, August 13",2263
"Sunday, August 14",1200
"Monday, August 15",547
"Tuesday, August 16",563
"Wednesday, August 17",805
"Thursday, August 18",960
"Friday, August 19",1939
"Saturday, August 20",2395
"Sunday, August 21",1446
"Monday, August 22",781
"Tuesday, August 23",1042
"Wednesday, August 24",688
"Thursday, August 25",1611
"Friday, August 26",2839
"Saturday, August 27",3937
"Sunday, August 28",2162
"Monday, August 29",911
"Tuesday, August 30",858
"Wednesday, August 31",1086
